,split0_test_mae,split0_train_mae,split1_test_mae,split1_train_mae,split2_test_mae,split2_train_mae,split3_test_mae,split3_train_mae,split4_test_mae,split4_train_mae,mean_test_mae,std_test_mae,mean_train_mae,std_train_mae,rank_test_mae,split0_test_fcp,split0_train_fcp,split1_test_fcp,split1_train_fcp,split2_test_fcp,split2_train_fcp,split3_test_fcp,split3_train_fcp,split4_test_fcp,split4_train_fcp,mean_test_fcp,std_test_fcp,mean_train_fcp,std_train_fcp,rank_test_fcp,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_init_mean,param_lr_all,param_reg_all
10,0.5007814977574412,0.4998046233477931,0.49827275713266356,0.5004318094941458,0.2765697206152391,0.20719813845906182,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.45500926803715513,0.08922470776225348,0.4415157959443987,0.11715906358772615,14,0.0,0.0,0.0,0.0,0.6518787848894433,0.8941665032024662,0.0,0.0,0.0,0.0,0.13037575697788867,0.2607515139557774,0.17883330064049324,0.3576666012809865,11,615.172141456604,3.4420000280893728,12.265759801864624,0.38796372438005483,"{'n_factors': 10, 'n_epochs': 30, 'init_mean': 0.5, 'lr_all': 0.01, 'reg_all': 0}",10,30,0.5,0.01,0.0
11,0.5007814977574412,0.4998046233477931,0.2802682053884198,0.23903734766459322,0.2784225537849198,0.23998728537984867,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.41177892432224256,0.10813494748776153,0.3957947329626456,0.1276045095041796,9,0.0,0.0,0.6695287470773487,0.8354002608767904,0.6691115387305636,0.8344634737125823,0.0,0.0,0.0,0.0,0.26772805716158243,0.3278985914784536,0.33397274691787454,0.4090315162463953,16,617.8763510704041,9.413092902798686,11.946801662445068,0.5003469902972785,"{'n_factors': 10, 'n_epochs': 30, 'init_mean': 0.5, 'lr_all': 0.01, 'reg_all': 0.02}",10,30,0.5,0.01,0.02
12,0.5007814977574412,0.4998046233477931,0.49827275713266356,0.5004318094941458,0.3098912913572745,0.27004744635951444,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.4616735821855622,0.0758969459629023,0.45408565752448926,0.09201940458729294,15,0.0,0.0,0.0,0.0,0.6424341249027191,0.7868027666921437,0.0,0.0,0.0,0.0,0.1284868249805438,0.25697364996108757,0.15736055333842874,0.3147211066768575,10,321.7417671203613,3.8398284261507216,11.77641806602478,0.5184979699371108,"{'n_factors': 30, 'n_epochs': 10, 'init_mean': 0.5, 'lr_all': 0.003, 'reg_all': 0}",30,10,0.5,0.003,0.0
13,0.5007814977574412,0.4998046233477931,0.49827275713266356,0.5004318094941458,0.3265339736584023,0.2867390411919008,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.4650021186457877,0.06924043073441184,0.45742397649096656,0.08534279004643865,16,0.0,0.0,0.0,0.0,0.6371338899903577,0.7798809486045916,0.0,0.0,0.0,0.0,0.12742677799807153,0.25485355599614307,0.1559761897209183,0.3119523794418366,9,325.1168825149536,2.2073411181415414,11.782668781280517,0.2962650349804529,"{'n_factors': 30, 'n_epochs': 10, 'init_mean': 0.5, 'lr_all': 0.003, 'reg_all': 0.02}",30,10,0.5,0.003,0.02
14,0.5007814977574412,0.4998046233477931,0.49827275713266356,0.5004318094941458,0.501523371578077,0.4996191581838517,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.49999999822972263,0.0012085614649670362,0.4999999998893568,0.00030213986844819036,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,324.0108248710632,2.437480040628434,11.580359315872192,0.3462117106928207,"{'n_factors': 30, 'n_epochs': 10, 'init_mean': 0.5, 'lr_all': 0.007, 'reg_all': 0}",30,10,0.5,0.007,0.0
15,0.5007814977574412,0.4998046233477931,0.49827275713266356,0.5004318094941458,0.501523371578077,0.4996191581838517,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.49999999822972263,0.0012085614649670362,0.4999999998893568,0.00030213986844819036,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,324.3235638141632,2.5393474254630948,12.028763008117675,0.6075650478907276,"{'n_factors': 30, 'n_epochs': 10, 'init_mean': 0.5, 'lr_all': 0.007, 'reg_all': 0.02}",30,10,0.5,0.007,0.02
16,0.5007814977574412,0.4998046233477931,0.49827275713266356,0.5004318094941458,0.501523371578077,0.4996191581838517,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.49999999822972263,0.0012085614649670362,0.4999999998893568,0.00030213986844819036,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,327.9186917304993,2.0545720071190305,12.144825124740601,0.9620464428294019,"{'n_factors': 30, 'n_epochs': 10, 'init_mean': 0.5, 'lr_all': 0.01, 'reg_all': 0}",30,10,0.5,0.01,0.0
17,0.5007814977574412,0.4998046233477931,0.49827275713266356,0.5004318094941458,0.501523371578077,0.4996191581838517,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.49999999822972263,0.0012085614649670362,0.4999999998893568,0.00030213986844819036,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,326.03898348808286,2.911579811522507,12.885273361206055,1.0110376826145815,"{'n_factors': 30, 'n_epochs': 10, 'init_mean': 0.5, 'lr_all': 0.01, 'reg_all': 0.02}",30,10,0.5,0.01,0.02
18,0.5007814977574412,0.4998046233477931,0.2912849181406015,0.22929456684500815,0.2893182506663695,0.23019563592184009,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.41616140624896875,0.10276792783965945,0.39188784690712686,0.13238939770687091,13,0.0,0.0,0.6502358103365885,0.8583544103079002,0.6503714722014482,0.8591328527726789,0.0,0.0,0.0,0.0,0.2601214565076074,0.3185824226850451,0.3434974526161158,0.4206968154477856,12,920.1824442863465,8.216312845236613,12.371043634414672,1.1900657915824406,"{'n_factors': 30, 'n_epochs': 30, 'init_mean': 0.5, 'lr_all': 0.003, 'reg_all': 0}",30,30,0.5,0.003,0.0
19,0.5007814977574412,0.4998046233477931,0.28877655912434397,0.2455455487159367,0.2870273979733566,0.2463150503960692,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.41520156390711466,0.10394305791686177,0.3983619261761584,0.12446023953318718,12,0.0,0.0,0.6566996888290336,0.8306175198368321,0.6604619370049879,0.828171776092938,0.0,0.0,0.0,0.0,0.2634323251668043,0.32263958276274335,0.331757859185954,0.4063194726612509,13,963.5955930709839,57.478978348414245,12.247629022598266,1.1338867859952138,"{'n_factors': 30, 'n_epochs': 30, 'init_mean': 0.5, 'lr_all': 0.003, 'reg_all': 0.02}",30,30,0.5,0.003,0.02
20,0.5007814977574412,0.4998046233477931,0.49827275713266356,0.5004318094941458,0.501523371578077,0.4996191581838517,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.49999999822972263,0.0012085614649670362,0.4999999998893568,0.00030213986844819036,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1050.2567166805268,13.722076462844004,14.310196256637573,1.2182876297727105,"{'n_factors': 30, 'n_epochs': 30, 'init_mean': 0.5, 'lr_all': 0.007, 'reg_all': 0}",30,30,0.5,0.007,0.0
21,0.5007814977574412,0.4998046233477931,0.49827275713266356,0.5004318094941458,0.501523371578077,0.4996191581838517,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.49999999822972263,0.0012085614649670362,0.4999999998893568,0.00030213986844819036,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1023.4855881690979,9.313275334570433,14.410631942749024,1.6865398703623826,"{'n_factors': 30, 'n_epochs': 30, 'init_mean': 0.5, 'lr_all': 0.007, 'reg_all': 0.02}",30,30,0.5,0.007,0.02
22,0.5007814977574412,0.4998046233477931,0.49827275713266356,0.5004318094941458,0.501523371578077,0.4996191581838517,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.49999999822972263,0.0012085614649670362,0.4999999998893568,0.00030213986844819036,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,901.5646419525146,13.681177627679313,11.548958015441894,0.514245764822446,"{'n_factors': 30, 'n_epochs': 30, 'init_mean': 0.5, 'lr_all': 0.01, 'reg_all': 0}",30,30,0.5,0.01,0.0
23,0.5007814977574412,0.4998046233477931,0.49827275713266356,0.5004318094941458,0.501523371578077,0.4996191581838517,0.49892967573138824,0.500267580309487,0.5004926889490435,0.49987682811150597,0.49999999822972263,0.0012085614649670362,0.4999999998893568,0.00030213986844819036,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,760.3333446502686,160.12260854969904,8.46295599937439,2.566985660762085,"{'n_factors': 30, 'n_epochs': 30, 'init_mean': 0.5, 'lr_all': 0.01, 'reg_all': 0.02}",30,30,0.5,0.01,0.02
